gender,birth,marriage,religion,income,code_job,code_region
2,1936,2,2,9999,NA,1
2,1945,2,2,9999,NA,1
1,1948,2,2,120,942,1
1,1942,3,1,200,762,1
2,1923,2,1,9999,NA,1
1,1962,1,1,9999,530,1
2,1963,1,1,9999,NA,1
2,2003,0,1,9999,NA,1
1,1927,1,1,9999,NA,1
2,1934,1,1,9999,NA,1
2,1930,2,2,0,NA,7
1,1956,1,2,9999,NA,7
2,1960,1,2,9999,NA,7
2,1940,2,1,9999,NA,2
2,1970,3,1,9999,NA,1
2,1992,5,1,9999,NA,1
1,1940,1,2,9999,NA,1
2,1941,1,2,9999,NA,1
1,1962,5,2,40,999,1
1,1978,1,2,350,312,1
2,1975,1,2,200,254,1
2,2004,0,2,9999,NA,1
2,2008,0,2,9999,NA,1
1,1941,1,1,9999,NA,1
2,1942,1,1,150,510,1
1,1964,5,2,9999,530,1
2,1940,2,2,0,NA,1
1,1975,5,1,9999,286,1
1,1978,1,2,9999,521,1
2,1961,1,2,9999,NA,1
1,1961,1,2,9999,773,1
2,1986,5,2,170,314,1
2,1962,1,2,120,941,1
2,1985,4,2,120,314,1
1,1952,1,2,200,773,1
2,1961,3,1,9999,951,1
2,1982,1,2,9999,NA,1
1,1968,5,2,9999,274,7
1,1971,3,2,250,873,7
2,1945,2,1,9999,NA,7
1,1943,2,2,9999,NA,1
2,1930,2,2,9999,NA,1
2,1939,2,1,9999,NA,1
1,1937,1,1,9999,NA,1
2,1945,1,1,9999,NA,1
1,1975,5,2,9999,NA,1
1,1972,1,1,9999,NA,1
2,1974,1,1,417,320,1
2,2006,0,1,9999,NA,1
2,2006,0,1,9999,NA,1
1,1980,5,2,150,952,1
2,1954,3,2,9999,NA,1
2,1941,2,1,9999,NA,1
1,1966,1,1,400,312,1
2,1974,1,1,9999,NA,1
1,1998,0,1,9999,NA,1
2,2000,0,1,9999,NA,1
1,2003,0,1,9999,NA,1
1,1955,1,2,9999,151,1
2,1961,1,2,9999,NA,1
2,1983,5,2,9999,NA,1
1,1985,5,2,190,152,1
2,1927,2,1,9999,NA,1
2,1936,2,1,9999,NA,1
1,1972,1,2,217,312,1
2,1973,1,2,100,314,1
1,2004,0,2,9999,NA,1
1,1926,1,2,9999,NA,1
2,1936,1,2,9999,NA,1
1,1968,5,2,0,NA,1
